,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,output
27,0,1,2,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0
15,4,0,0,1,1,1,3,0,1,1,1,1,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
23,0,1,2,0,0,0,1,0,1,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
17,5,0,0,2,1,2,2,0,0,2,1,1,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
8,6,0,2,1,0,3,0,0,1,1,1,1,0,1,1,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9,6,0,2,1,0,1,0,0,0,2,1,1,0,1,1,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
28,3,0,2,0,1,3,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
24,0,1,2,0,0,2,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
12,5,0,0,2,0,3,2,0,0,2,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,4,0,2,1,1,1,0,0,0,2,1,1,0,1,1,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
4,4,0,2,1,0,3,0,1,0,2,1,1,0,1,1,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16,3,0,0,1,0,1,2,0,0,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
5,5,0,2,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
13,6,0,0,1,1,3,3,0,1,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
11,4,0,0,1,0,2,3,0,1,1,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
22,2,1,2,0,0,2,1,0,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
1,5,0,2,1,0,3,1,0,1,2,1,1,0,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2,3,0,2,1,0,2,0,1,1,1,1,1,0,1,1,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
25,4,0,2,0,1,0,1,1,0,2,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
3,6,0,2,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21,2,1,2,0,0,3,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
26,2,1,2,0,0,3,1,1,0,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
18,6,0,0,2,0,1,3,0,1,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
29,0,1,2,0,0,1,1,1,1,2,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
20,0,1,2,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
7,3,0,2,1,0,1,0,1,1,2,1,1,0,1,1,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10,6,0,0,2,1,0,2,0,0,0,1,1,0,1,1,0,0,0,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
14,3,0,0,2,1,0,2,0,0,1,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
19,5,0,0,2,1,3,3,0,1,2,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
6,3,0,2,1,0,2,1,0,0,1,1,1,0,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
