,0,1,2,3,output
115,1,5,4,1,0
315,3,3,4,1,0
240,2,5,4,1,0
453,4,4,1,4,0
207,2,4,2,3,0
531,5,2,2,2,0
433,4,3,2,4,0
432,4,3,2,3,0
559,5,3,2,5,0
455,4,4,2,1,0
233,2,5,2,4,0
75,1,4,1,1,0
556,5,3,2,2,0
606,5,5,2,2,0
416,4,2,4,2,0
459,4,4,2,5,0
236,2,5,3,2,0
608,5,5,2,4,0
241,2,5,4,2,0
614,5,5,3,5,0
320,3,3,5,1,0
498,4,5,5,4,0
362,3,5,3,3,0
615,5,5,4,1,0
51,1,3,1,2,0
366,3,5,4,2,0
220,2,4,5,1,0
327,3,4,1,3,0
358,3,5,2,4,0
304,3,3,1,5,0
286,3,2,3,2,0
567,5,3,4,3,0
30,1,2,2,1,0
485,4,5,3,1,0
479,4,5,1,5,0
600,5,5,1,1,0
434,4,3,2,5,0
591,5,4,4,2,0
359,3,5,2,5,0
488,4,5,3,4,0
153,2,2,1,4,0
179,2,3,1,5,0
420,4,2,5,1,0
337,3,4,3,3,0
620,5,5,5,1,0
185,2,3,3,1,0
234,2,5,2,5,0
430,4,3,2,1,0
182,2,3,2,3,0
436,4,3,3,2,0
604,5,5,1,5,0
405,4,2,2,1,0
280,3,2,2,1,0
381,4,1,2,2,0
536,5,2,3,2,0
90,1,4,4,1,0
252,3,1,1,3,0
351,3,5,1,2,0
55,1,3,2,1,0
205,2,4,2,1,0
316,3,3,4,2,0
260,3,1,3,1,0
587,5,4,3,3,0
583,5,4,2,4,0
329,3,4,1,5,0
245,2,5,5,1,0
505,5,1,2,1,0
211,2,4,3,2,0
486,4,5,3,2,0
431,4,3,2,2,0
565,5,3,4,1,0
100,1,5,1,1,0
110,1,5,3,1,0
407,4,2,2,3,0
487,4,5,3,3,0
501,5,1,1,2,0
560,5,3,3,1,0
367,3,5,4,3,0
326,3,4,1,2,0
363,3,5,3,4,0
602,5,5,1,3,0
331,3,4,2,2,0
428,4,3,1,4,0
246,2,5,5,2,0
622,5,5,5,3,0
332,3,4,2,3,0
566,5,3,4,2,0
151,2,2,1,2,0
492,4,5,4,3,0
530,5,2,2,1,0
378,4,1,1,4,0
553,5,3,1,4,0
312,3,3,3,3,0
365,3,5,4,1,0
210,2,4,3,1,0
617,5,5,4,3,0
85,1,4,3,1,0
52,1,3,1,3,0
491,4,5,4,2,0
467,4,4,4,3,0
