,0,1,2,3,4,5,output
536,high,vhigh,5more,more,med,high,1
731,high,med,5more,2,small,high,1
765,high,low,2,4,small,low,1
624,high,high,5more,2,med,low,1
1514,low,med,2,2,small,high,1
483,high,vhigh,3,more,big,low,1
128,vhigh,high,2,more,small,high,1
1125,med,med,3,more,small,low,1
497,high,vhigh,4,4,small,high,1
1614,low,med,5more,more,med,low,1
1086,med,med,2,2,big,low,1
357,vhigh,low,3,2,big,low,1
211,vhigh,high,5more,more,med,med,1
1518,low,med,2,2,big,low,1
466,high,vhigh,3,2,big,med,1
1056,med,high,5more,2,med,low,1
601,high,high,4,2,big,med,1
523,high,vhigh,5more,4,small,med,1
1095,med,med,2,4,big,low,1
370,vhigh,low,3,more,small,med,1
1494,low,high,5more,4,small,low,1
972,med,high,2,2,small,low,1
894,med,vhigh,3,2,med,low,1
328,vhigh,low,2,2,med,med,1
1128,med,med,3,more,med,low,1
702,high,med,4,2,small,low,1
502,high,vhigh,4,4,big,med,1
1422,low,high,2,more,small,low,1
2,vhigh,vhigh,2,2,small,high,1
354,vhigh,low,3,2,med,low,1
978,med,high,2,2,big,low,1
817,high,low,4,2,big,med,1
346,vhigh,low,2,more,med,med,1
670,high,med,2,more,med,med,1
81,vhigh,vhigh,5more,2,small,low,1
210,vhigh,high,5more,more,med,low,1
872,med,vhigh,2,2,big,high,1
694,high,med,3,more,small,med,1
155,vhigh,high,3,more,small,high,1
282,vhigh,med,4,4,med,low,1
1314,low,vhigh,2,more,small,low,1
994,med,high,2,more,med,med,1
285,vhigh,med,4,4,big,low,1
785,high,low,3,2,small,high,1
1273,med,low,5more,2,med,med,1
525,high,vhigh,5more,4,med,low,1
1215,med,low,3,2,small,low,1
757,high,low,2,2,small,med,1
10,vhigh,vhigh,2,4,small,med,1
1530,low,med,2,more,small,low,1
1709,low,low,5more,2,big,high,1
379,vhigh,low,4,2,small,med,1
636,high,high,5more,4,big,low,1
228,vhigh,med,2,4,med,low,1
966,med,vhigh,5more,more,med,low,1
1338,low,vhigh,3,4,big,low,1
650,high,med,2,2,small,high,1
831,high,low,4,more,med,low,1
1467,low,high,4,4,small,low,1
1401,low,vhigh,5more,more,big,low,1
237,vhigh,med,2,more,med,low,1
1217,med,low,3,2,small,high,1
661,high,med,2,4,med,med,1
306,vhigh,med,5more,4,small,low,1
549,high,high,2,4,small,low,1
1272,med,low,5more,2,med,low,1
39,vhigh,vhigh,3,4,med,low,1
1284,med,low,5more,4,big,low,1
481,high,vhigh,3,more,med,med,1
837,high,low,5more,2,small,low,1
316,vhigh,med,5more,more,small,med,1
70,vhigh,vhigh,4,4,big,med,1
1655,low,low,3,2,big,high,1
1547,low,med,3,2,big,high,1
947,med,vhigh,5more,2,small,high,1
1392,low,vhigh,5more,4,big,low,1
352,vhigh,low,3,2,small,med,1
1278,med,low,5more,4,small,low,1
1190,med,low,2,2,small,high,1
984,med,high,2,4,med,low,1
129,vhigh,high,2,more,med,low,1
642,high,high,5more,more,med,low,1
795,high,low,3,4,med,low,1
1173,med,med,5more,4,med,low,1
1107,med,med,3,2,small,low,1
1165,med,med,5more,2,med,med,1
1369,low,vhigh,4,more,small,med,1
776,high,low,2,more,small,high,1
1625,low,low,2,2,med,high,1
969,med,vhigh,5more,more,big,low,1
449,high,vhigh,2,4,big,high,1
909,med,vhigh,3,more,small,low,1
435,high,vhigh,2,2,med,low,1
1432,low,high,3,2,small,med,1
213,vhigh,high,5more,more,big,low,1
748,high,med,5more,more,small,med,1
1532,low,med,2,more,small,high,1
485,high,vhigh,3,more,big,high,1
649,high,med,2,2,small,med,1
562,high,high,2,more,med,med,1
