,0,1,2,3,4,5,6,7,8,9,10,11,12,13,output
16015,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,0,United-States,1.3502970677269004,-0.2795246404960996,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
1565,Private,Some-college,Never-married,Other-service,Not-in-family,Black,1,Outlying-US(Guam-USVI-etc),0.6171712286310623,-0.7388212267490382,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-0.4403782755604586,1
22352,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,0,United-States,-0.922393033470198,1.7809432476532219,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
18934,?,Bachelors,Widowed,?,Not-in-family,White,1,United-States,1.4236096516364842,-1.44187338400564,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
14381,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,0,United-States,2.669923578099409,-0.61186520018463,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-1.1692861670182857,1
29167,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,1,United-States,-1.3622685369277008,0.02778473843249306,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
30926,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,0,United-States,1.2769844838173166,-0.7827063248868246,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-1.8172042927585763,1
23369,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Black,0,United-States,-0.7757678656510302,0.5693279863724187,1.9121379577022175,-0.14592048355885345,-0.21665952703259012,0.7744682102025865,1
19447,Local-gov,Assoc-voc,Never-married,Protective-serv,Unmarried,White,0,United-States,0.6904838125406461,-1.0291431313768855,0.35733956989011106,-0.14592048355885345,-0.21665952703259012,0.6124886787675138,1
12724,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,0,United-States,-0.7024552817414464,-1.2435661756459666,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
21947,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,0,United-States,0.7637963964502299,0.6853506357237427,1.9121379577022175,-0.14592048355885345,-0.21665952703259012,0.6124886787675138,0
10295,Private,11th,Never-married,Other-service,Own-child,White,1,United-States,-1.5822062886564523,0.3659046396288063,-1.1974588179219956,-0.14592048355885345,-0.21665952703259012,-2.7080917156514763,1
15706,Self-emp-not-inc,Masters,Divorced,Sales,Not-in-family,White,0,United-States,1.2769844838173166,-1.3168122235093576,1.523438360749191,-0.14592048355885345,4.438958375951377,1.58436586737795,1
19661,Private,11th,Never-married,Handlers-cleaners,Not-in-family,Black,0,United-States,-1.5088937047468685,-0.6259156320797805,-1.1974588179219956,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
9693,Private,Some-college,Never-married,Tech-support,Not-in-family,White,1,United-States,-0.8490804495606141,0.10444154521850993,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
8923,Private,Bachelors,Never-married,Sales,Own-child,White,0,United-States,-1.288955953018117,-0.06589743997563137,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,-0.8453271041481403,1
22777,Local-gov,HS-grad,Never-married,Transport-moving,Own-child,Black,1,United-States,-0.7757678656510302,0.10725542132967628,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
31046,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,0,United-States,0.8371089803598137,-0.4362774359817811,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,3.2041611817286766,1
4837,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,1,United-States,-0.3358923621935273,-0.6802130192619166,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
22938,Private,HS-grad,Widowed,Machine-op-inspct,Own-child,White,1,United-States,0.10398314126397556,-1.0035150678054885,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.8453271041481403,1
28418,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,0,United-States,-0.48251753001269504,2.0140780943450425,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
11412,Private,10th,Divorced,Handlers-cleaners,Not-in-family,White,1,United-States,-0.4092049461031112,-0.860111603769751,-1.5861584148750223,-0.14592048355885345,-0.21665952703259012,-0.35938850984292225,1
25285,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,0,United-States,-0.7024552817414464,-0.6022866522102557,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
19400,Self-emp-inc,Some-college,Widowed,Sales,Not-in-family,White,1,United-States,1.6435474033652355,0.599939547702986,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-1.6552247613235038,1
6863,Private,Some-college,Never-married,Other-service,Own-child,White,1,United-States,-0.922393033470198,0.976089410886578,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-1.3312656984533584,1
3644,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,0,United-States,-0.9957056173797816,1.363343189229385,-1.9748580118280492,-0.14592048355885345,-0.21665952703259012,0.3695193816149048,1
7050,Private,10th,Never-married,Adm-clerical,Unmarried,Black,1,United-States,-0.5558301139222788,-0.2846218302193572,-1.5861584148750223,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
32471,Private,Some-college,Divorced,Handlers-cleaners,Not-in-family,White,0,United-States,-0.7757678656510302,-0.039141931093699386,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,0.7744682102025865,1
6194,Private,11th,Never-married,Sales,Own-child,White,1,United-States,-1.5822062886564523,0.07927772383380338,-1.1974588179219956,-0.14592048355885345,-0.21665952703259012,-2.060173589911185,1
20054,Private,HS-grad,Never-married,Sales,Own-child,White,0,United-States,-1.0690182012893654,0.002241943834161398,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
30551,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Other,0,United-States,0.4705460608118946,0.9347244846193984,-0.4200596240159423,0.4043708740064716,-0.21665952703259012,-0.03542944697277691,1
21595,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,1,United-States,0.9104215642693976,-1.2334475908421765,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-1.6552247613235038,1
9148,?,HS-grad,Never-married,?,Not-in-family,White,1,United-States,-1.288955953018117,-1.0336339639583432,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
24705,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,0,United-States,-0.04264202655519207,0.07950510776197843,0.35733956989011106,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
21387,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,0,United-States,2.010110322913155,-0.8709881350007913,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,0.7744682102025865,1
