,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,output
2,3,1,1,1,1,1,1,1,1,4,3,3,4,8,3,1,1,7,0
14,3,1,1,1,1,1,1,1,3,1,1,2,2,8,1,1,1,4,0
80,2,1,0,0,0,1,0,1,1,3,3,3,4,8,3,1,1,2,0
31,2,0,0,0,0,0,0,1,1,3,2,3,3,8,3,1,1,3,0
44,3,1,1,1,1,1,1,0,2,2,2,4,2,4,3,1,1,7,0
128,2,0,0,0,0,1,0,1,1,2,2,2,4,8,1,1,1,2,0
84,4,0,0,0,0,1,0,1,1,4,3,4,2,5,3,1,1,2,0
65,4,0,0,0,1,0,1,1,1,3,2,3,4,5,3,1,1,7,0
111,4,0,0,0,0,1,0,1,1,4,3,4,3,3,3,1,1,5,0
30,4,1,0,0,0,1,0,1,1,4,3,3,3,7,3,1,1,3,0
137,2,0,0,0,0,1,0,1,1,3,3,2,2,4,3,1,1,6,0
9,2,0,0,0,0,0,0,1,1,2,2,3,3,5,3,0,0,2,0
82,2,0,0,0,0,0,0,1,1,3,2,2,2,8,3,1,1,5,0
73,3,0,0,0,0,0,0,1,1,4,3,3,4,5,3,1,1,3,0
24,3,0,0,0,0,0,0,1,2,1,2,2,2,8,3,0,1,8,0
39,2,0,0,0,0,0,0,1,1,2,2,2,1,7,1,1,1,2,0
20,3,0,0,0,0,0,0,1,1,2,2,4,2,4,3,1,1,3,0
13,4,0,0,0,0,1,0,1,1,4,2,2,4,7,3,1,1,2,0
100,2,0,0,0,0,1,0,1,1,3,3,4,2,8,3,1,1,3,0
66,2,0,0,0,0,0,0,1,1,4,3,4,4,5,3,1,1,5,0
118,2,0,0,0,0,1,0,1,1,3,2,2,2,4,3,0,1,5,0
116,4,0,0,0,0,0,0,1,1,3,2,2,4,3,2,1,0,1,0
132,4,0,0,0,0,0,0,1,1,4,2,4,2,8,3,1,1,6,0
37,3,0,0,0,0,1,0,1,1,4,3,4,2,4,3,1,1,6,0
25,3,0,0,0,0,1,0,0,1,3,2,3,3,8,3,1,1,2,0
38,2,0,0,0,0,0,0,1,1,3,3,2,3,4,3,1,1,2,0
60,4,0,0,0,0,0,0,1,1,4,2,2,4,7,3,1,1,7,0
78,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
136,1,0,0,0,0,1,0,1,1,2,2,1,1,2,1,0,0,2,0
119,4,1,0,0,1,1,0,1,1,3,3,4,2,5,3,1,1,3,0
62,3,0,0,0,0,1,0,1,1,4,2,4,4,2,3,1,1,3,0
27,4,0,0,0,0,0,0,1,1,3,2,4,4,8,3,1,1,1,0
79,3,1,0,0,0,0,0,1,1,3,2,2,4,8,3,1,1,3,0
125,3,0,0,0,0,1,0,1,1,4,2,2,2,4,3,1,1,7,0
88,2,1,0,0,0,1,0,1,1,3,3,4,2,8,3,1,1,2,0
71,3,0,0,0,0,0,0,0,1,2,2,2,2,5,1,0,1,2,0
95,2,0,0,0,0,0,0,1,1,2,2,4,2,8,3,1,1,3,0
3,3,0,0,0,0,1,0,1,1,3,3,4,4,4,3,0,1,6,0
55,4,0,0,0,0,0,0,1,1,2,2,3,3,3,3,1,0,1,0
8,2,1,0,0,0,0,0,1,1,3,2,2,2,8,3,0,1,5,0
107,2,1,0,0,0,1,0,1,1,4,3,4,4,8,3,1,1,7,0
94,2,0,0,0,0,0,0,1,1,3,2,4,4,4,3,1,1,5,0
83,2,1,1,0,1,1,1,1,1,3,3,4,4,5,3,1,1,5,0
58,4,1,1,1,1,1,1,1,1,4,3,4,4,7,3,1,1,8,0
114,3,0,0,0,0,0,0,1,1,2,2,4,4,2,3,1,0,1,0
26,4,0,0,0,0,1,0,1,1,3,3,4,2,4,3,1,1,4,0
56,2,0,0,0,0,0,0,1,1,3,2,4,2,8,3,1,1,4,0
41,2,1,1,0,1,1,1,1,1,4,2,2,2,4,3,1,1,6,0
139,3,0,0,0,1,1,1,0,3,1,1,2,1,5,3,0,0,7,0
51,3,1,0,0,0,1,0,1,1,2,2,2,4,8,3,0,1,3,0
21,4,0,0,0,1,1,0,1,1,3,3,3,4,5,3,1,1,4,0
105,2,1,0,0,0,0,0,1,1,4,3,4,2,7,3,1,1,5,0
36,3,0,0,0,1,1,1,0,3,1,1,4,2,5,3,0,1,4,0
69,2,0,0,0,0,0,0,1,1,3,2,2,2,6,3,1,1,6,0
131,4,1,1,1,1,1,0,1,1,4,3,4,4,7,3,1,1,6,0
90,4,1,1,0,1,1,0,1,1,1,2,2,1,3,1,1,1,2,0
