,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,output
10509,0,2,1,2,2,0,0,0,2,-0.13475860657630187,0.3812752389809344,0.8998709727958513,0.9130893177006952,1.0018690253916966,1.1747855638237457,1.4111191193973165,1.4280065729072022,-0.34194161870789364,-0.07361665338593171,-0.05359796067235697,0.2796471006376184,-0.3141361173103375,-0.030179302009457724,0
27535,0,3,1,3,4,3,2,3,2,-1.1367201460025875,1.9000839872333413,-0.4850479903121173,-0.4805934243839291,-0.4695744080471329,-0.4375278789988568,-0.42320778784393615,-0.4141808605068084,-0.34194161870789364,-0.2569895184166682,-0.2286452777938691,-0.3080625617347319,-0.3141361173103375,-0.16794026572742302,0
13261,1,2,1,8,7,6,5,4,3,-0.8284242877175766,2.659488361359545,0.24390247217766794,0.2674755383758658,0.2826726038911221,0.3381384707678089,0.3805767617988031,0.39086519010178816,-0.34194161870789364,-0.2569895184166682,-0.296801274077391,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,0
22433,1,3,1,2,0,0,2,0,0,-0.5201284294325655,0.05581622149827576,0.652881218318958,0.7417592975682259,0.9851995303890968,1.0687260146362114,1.1940658745268395,1.3639796953448766,-0.02678140342443385,0.4638285981349226,-0.296801274077391,-0.0378578261181186,0.2880349303422289,0.8879083618700488,0
8340,1,2,2,2,0,0,0,2,2,0.09646328713745636,-0.16115645682349666,0.002195557888354325,0.06668192531098789,0.11297829836292643,0.22889231633574225,0.3146021812307914,0.3879266368436169,-0.1523624853764638,-0.21692960020995344,-0.031958431852338764,-0.14656528294663088,-0.07280952462609702,-0.012122434164024136,0
15226,1,6,1,2,2,2,2,0,0,-0.28890653571880737,0.9237069347853656,0.8331224907342727,0.8423457838834915,1.031401141105645,1.115561339522924,1.2415524399967597,1.3343254950367027,-0.34194161870789364,0.23444975986570554,-0.296801274077391,-0.0339640182105794,-0.006505256009569861,-0.053748858480600015,0
29347,0,2,2,1,6,5,4,4,3,-1.1367201460025875,-0.9205608309497002,-0.4323418135306348,-0.4267384164154401,-0.414980369915781,-0.3825317358029757,-0.3657863815205932,-0.3588521005886697,-0.34194161870789364,-0.2569895184166682,-0.2400046105077894,-0.3080625617347319,-0.3141361173103375,-0.2933820579246719,0
11442,0,3,1,2,2,2,0,0,0,-0.9054982522888292,2.008570326394228,-0.4418074680569665,-0.39491436396341095,-0.3889667289255647,-0.36095608663511736,-0.3324947956144212,-0.3120535409856795,-0.16081505820015812,-0.2569895184166682,-0.2570436095786699,-0.2601878743469549,-0.25522808003997777,-0.25445572599619826,0
451,0,1,1,2,2,0,0,0,0,3.3335697991300712,1.9000839872333413,5.64851959539237,5.756190237791044,6.09517842751823,6.277877380081228,6.590395092784384,6.646893951152253,-0.34194161870789364,0.5242439894065878,0.6119453430362346,0.7132641025378439,1.0603847523313903,0.8316564371179193,0
29668,0,2,1,4,4,4,4,4,4,-0.7513503231463238,0.7067342564635929,0.10737704182872594,0.14966331770908242,0.2142786464539848,0.3123813737424909,0.3932749358697343,0.4505933840407319,-0.2047684368833686,-0.10013519079037668,-0.12073161701162605,-0.14848027044214196,-0.11123065560132056,-0.2371301331725424,0
11926,1,2,1,2,2,0,0,0,0,-0.057684642005049115,-0.16115645682349666,1.4811191990899644,1.5054803549997913,1.6194911192120698,1.2606529168520233,1.4226330078036011,1.5195383089660108,-0.34194161870789364,0.0755121428852187,-0.03513904501223645,-0.014303479923332313,-0.00840340387717034,-0.024497857609492642,0
15826,1,2,2,2,2,2,2,2,0,-0.9054982522888292,-0.9205608309497002,-0.03824736776360522,-0.019938508846521888,-0.028106770067381763,0.03856648895010988,0.046246339304311566,0.0582881282084176,-0.2151530263524788,-0.2569895184166682,-0.10369261794074558,-0.3080625617347319,-0.2141233607002156,-0.12248871052770233,0
1064,1,3,1,2,0,0,0,0,0,-1.0596461814313347,2.117056665555114,-0.298030015445383,-0.2639510116873122,-0.2484296196735427,-0.20030454906320372,-0.16705666762811816,-0.13053490829521522,-0.24534078643710136,-0.1881975678666759,-0.2185922683420496,-0.23433554315755534,-0.14395734297374266,-0.2933820579246719,0
15614,1,1,2,2,2,2,2,0,0,-0.5201284294325655,-0.5951018134670415,0.5559702990938461,0.6265042413810317,0.6943197265894058,0.4879866393399663,0.4178982086471748,0.6649902297569065,-0.112514642064762,-0.10855515193024956,-0.2922575409918229,-0.19316331200406714,0.7985712533520136,-0.1808782084204128,0
25727,1,2,2,1,3,2,2,2,0,1.1754987911349948,-1.0290471701105863,3.4318452849103536,3.6031560984570072,3.6391532905478186,4.2534970181010205,4.4418870677596365,4.596052444675178,0.1471000946629922,-0.2569895184166682,1.0719983179500074,-0.3080625617347319,0.4516683672043394,0.3816410391008828,0
16520,0,2,2,2,3,2,0,0,2,-1.1367201460025875,-1.0290471701105863,-0.4924493988011429,-0.4881244142798618,-0.4771881566296352,-0.4350407724665388,-0.3831230077780562,-0.3488106443121759,-0.34194161870789364,-0.2569895184166682,-0.188887613295148,-0.11656381218362395,-0.21595605519307126,-0.2933820579246719,0
9857,0,3,1,2,3,2,2,2,0,-0.7513503231463238,1.574624969750683,0.07547629221272427,0.08638052201639401,0.08527751990272384,-0.19944960619271945,-0.3909031066583029,-0.37193286052075775,-0.3418208676675551,-0.2568593128320309,-0.17105346093429308,-0.3080625617347319,-0.274864092463431,-0.2483805181229683,0
17908,0,3,1,2,2,2,2,0,0,-0.28890653571880737,-0.16115645682349666,0.24668648821482436,0.30167410070179906,0.35934362891605554,0.4174305359012711,0.5214574106557017,0.5858172091153211,-0.16081505820015812,-0.12678393377945885,-0.296801274077391,-0.11656381218362395,-0.11777599307580496,-0.11838232002079685,0
10870,0,2,1,2,2,2,2,2,2,-0.6742763585750711,0.16430256065916196,0.09235693579411637,0.14220257958456695,0.1848330506102921,0.2687792873477916,0.355723211253237,0.40967193095408416,-0.17289016223400716,-0.16584560917062166,-0.16616894786730732,-0.14848027044214196,-0.15050268044822707,-0.26525609554860713,0
62,0,1,2,2,2,2,2,2,2,-0.9054982522888292,-0.7035881526279277,-0.35630422430117825,-0.3495598203364131,-0.29448703060633136,-0.2704409532745704,-0.20798031670645603,-0.17812267934468567,-0.34194161870789364,-0.13980449224317978,-0.296801274077391,-0.16603432248432684,-0.2355920676165245,-0.2933820579246719,0
1773,0,2,2,2,2,0,0,0,2,-0.9054982522888292,-1.137533509271473,-0.5981333636848061,-0.5937268770743215,-0.5647462653284119,-0.5478621425388125,-0.5169308394710941,-0.5084328572960384,-0.34194161870789364,-0.20490728456178445,-0.2797622750065105,-0.24422964521769594,-0.3141361173103375,-0.2371301331725424,0
15008,0,3,1,1,3,2,2,2,2,-1.0596461814313347,0.8152205956244792,-0.3901605754262069,-0.384053440102299,-0.3721241941824535,-0.3073433964478382,-0.28773866653799146,-0.24433248218451,-0.34194161870789364,-0.2569895184166682,-0.1465740989357948,-0.3080625617347319,-0.18133121995304866,-0.2356113312042349,0
