,0,1,2,3,4,5,6,7,8,output
158,x,o,o,x,o,x,x,x,o,1
286,x,b,b,o,x,x,o,o,x,1
585,b,o,b,o,b,b,x,x,x,1
196,x,o,b,x,o,x,x,b,o,1
101,x,x,b,x,o,o,x,o,b,1
70,x,x,x,b,b,o,o,x,o,1
261,x,b,o,o,x,o,x,b,x,1
259,x,b,o,o,x,x,o,b,x,1
310,o,x,x,b,x,o,x,b,o,1
318,o,x,o,x,x,x,x,o,o,1
481,o,b,b,o,b,b,x,x,x,1
231,x,b,x,o,x,b,x,o,o,1
335,o,x,o,o,b,b,x,x,x,1
274,x,b,o,b,o,o,x,x,x,1
456,o,b,x,b,b,x,o,b,x,1
396,o,o,x,b,x,o,x,x,b,1
301,o,x,x,o,x,o,x,b,b,1
265,x,b,o,o,x,b,b,b,x,1
311,o,x,x,b,x,o,o,x,b,1
31,x,x,x,o,o,b,b,x,o,1
208,x,o,b,o,x,x,b,o,x,1
257,x,b,o,x,b,b,x,o,b,1
591,b,b,x,o,x,x,o,o,x,1
448,o,b,x,b,x,o,x,o,x,1
135,x,o,x,o,b,x,b,o,x,1
352,o,x,b,o,x,o,x,x,b,1
536,b,o,x,o,x,x,o,b,x,1
55,x,x,x,b,o,x,b,o,o,1
63,x,x,x,b,o,b,x,o,o,1
188,x,o,b,x,x,x,o,b,o,1
579,b,o,b,x,x,x,o,b,b,1
438,o,b,x,o,x,b,x,b,b,1
393,o,o,x,b,x,x,x,b,o,1
227,x,b,x,o,x,o,x,o,b,1
606,b,b,x,b,o,x,b,o,x,1
76,x,x,x,b,b,b,o,b,o,1
292,x,b,b,b,x,o,o,b,x,1
49,x,x,x,o,b,b,b,b,o,1
86,x,x,o,o,x,x,o,x,o,1
192,x,o,b,x,x,o,o,b,x,1
118,x,o,x,x,b,o,x,o,b,1
334,o,x,o,o,o,x,x,x,x,1
300,o,x,x,o,x,o,x,o,x,1
218,x,o,b,b,x,o,o,x,x,1
145,x,o,o,x,x,x,o,x,o,1
463,o,b,o,x,x,x,b,o,x,1
589,b,b,x,x,o,x,o,o,x,1
110,x,x,b,o,x,b,o,o,x,1
383,o,o,x,o,x,x,x,b,b,1
621,b,b,b,x,x,x,o,b,o,1
370,o,o,x,x,x,x,b,b,o,1
382,o,o,x,o,x,x,x,o,x,1
503,b,x,o,o,x,o,x,x,b,1
56,x,x,x,b,o,o,x,o,b,1
140,x,o,x,b,x,b,x,o,o,1
600,b,b,x,o,b,x,o,b,x,1
367,o,o,x,x,x,x,o,o,x,1
488,b,x,x,o,x,b,x,o,o,1
2,x,x,x,x,o,o,o,o,x,1
235,x,b,x,o,b,x,o,o,x,1
132,x,o,x,o,o,x,o,x,x,1
497,b,x,o,x,x,x,o,b,o,1
77,x,x,x,b,b,b,b,o,o,1
211,x,o,b,o,x,b,x,o,x,1
609,b,b,o,x,x,x,o,x,o,1
272,x,b,o,b,x,b,o,b,x,1
499,b,x,o,x,x,o,o,x,b,1
346,o,x,b,x,x,x,o,b,o,1
528,b,o,x,x,x,x,b,o,o,1
90,x,x,o,o,x,o,b,x,b,1
380,o,o,x,x,b,x,b,o,x,1
212,x,o,b,o,x,b,o,x,x,1
369,o,o,x,x,x,x,b,o,b,1
181,x,o,o,b,x,o,b,x,x,1
82,x,x,o,x,o,b,x,o,b,1
403,o,o,x,b,o,b,x,x,x,1
163,x,o,o,x,b,x,x,o,b,1
60,x,x,x,b,o,o,b,x,o,1
374,o,o,x,x,x,b,x,o,b,1
203,x,o,b,x,b,o,x,o,x,1
571,b,o,o,o,x,b,x,x,x,1
557,b,o,x,b,o,x,o,x,x,1
209,x,o,b,o,x,o,x,b,x,1
260,x,b,o,o,x,x,b,o,x,1
595,b,b,x,o,x,b,x,o,b,1
483,o,b,b,b,b,o,x,x,x,1
228,x,b,x,o,x,o,x,b,o,1
513,b,x,o,b,x,b,o,x,b,1
155,x,o,o,x,x,b,x,b,o,1
39,x,x,x,o,b,o,o,x,b,1
210,x,o,b,o,x,o,b,x,x,1
250,x,b,o,x,o,o,x,b,x,1
78,x,x,o,x,x,o,o,o,x,1
174,x,o,o,o,x,b,x,b,x,1
109,x,x,b,o,x,b,o,x,o,1
624,b,b,b,o,b,o,x,x,x,1
220,x,o,b,b,x,b,o,b,x,1
184,x,o,o,b,x,b,b,b,x,1
581,b,o,b,x,x,x,b,b,o,1
30,x,x,x,o,o,b,o,b,x,1
