,0,1,2,3,4,5,output
744,b,2,h,6,g,7,0
2012,d,2,a,6,b,7,0
1978,d,1,h,7,g,7,0
1553,c,3,g,3,g,2,0
1123,c,1,h,8,h,7,0
1036,c,1,g,2,f,3,0
1116,c,1,h,7,g,6,0
862,c,1,c,7,c,8,0
1641,d,1,a,5,b,4,0
1586,c,3,g,8,h,7,0
1598,c,3,h,3,h,2,0
1451,c,2,h,7,g,6,0
1488,c,3,e,4,f,4,0
1364,c,2,f,8,g,8,0
427,b,1,f,2,e,1,0
1487,c,3,e,4,f,3,0
839,c,1,c,4,d,3,0
303,b,1,c,7,d,6,0
801,c,1,b,5,a,6,0
1071,c,1,g,6,h,5,0
1352,c,2,f,7,e,6,0
2219,d,2,f,7,g,8,0
393,b,1,e,5,d,4,0
2202,d,2,f,5,g,5,0
2208,d,2,f,6,f,7,0
497,b,1,g,3,g,4,0
802,c,1,b,5,b,4,0
174,a,1,h,3,g,2,0
1220,c,2,c,8,d,7,0
2337,d,3,a,5,a,4,0
764,c,1,a,4,b,4,0
1374,c,2,g,2,g,3,0
2244,d,2,g,3,h,3,0
2147,d,2,e,5,d,5,0
343,b,1,d,6,c,5,0
184,a,1,h,5,g,4,0
199,a,1,h,8,h,7,0
1763,d,1,d,4,e,3,0
2333,d,3,a,4,a,5,0
1053,c,1,g,4,g,3,0
2318,d,2,h,8,h,7,0
1927,d,1,g,5,h,6,0
1873,d,1,f,6,f,5,0
43,a,1,e,1,f,1,0
1344,c,2,f,6,e,5,0
2548,d,3,g,2,f,3,0
976,c,1,f,2,e,2,0
2426,d,3,c,7,d,6,0
2605,d,3,h,2,h,1,0
888,c,1,d,5,c,6,0
2782,d,4,h,5,g,6,0
52,a,1,e,2,f,3,0
457,b,1,f,5,g,5,0
2230,d,2,g,2,f,1,0
2487,d,3,e,8,d,7,0
415,b,1,e,7,f,7,0
1206,c,2,c,6,d,5,0
1411,c,2,g,7,f,7,0
1177,c,2,b,7,a,8,0
2005,d,2,a,5,b,4,0
1229,c,2,d,5,c,5,0
2245,d,2,g,3,h,4,0
2114,d,2,d,5,d,4,0
211,b,1,a,5,b,5,0
460,b,1,f,6,e,6,0
604,b,2,e,2,f,2,0
1210,c,2,c,7,b,7,0
680,b,2,g,2,h,2,0
2647,d,4,c,1,b,1,0
1857,d,1,f,4,f,3,0
1953,d,1,h,2,g,2,0
2578,d,3,g,6,f,5,0
2644,d,4,b,2,c,1,0
2313,d,2,h,7,g,8,0
1973,d,1,h,6,g,6,0
2546,d,3,g,2,f,1,0
1208,c,2,c,6,d,7,0
1161,c,2,b,5,a,6,0
1508,c,3,f,3,e,2,0
308,b,1,c,8,c,7,0
2766,d,4,h,2,g,2,0
2730,d,4,g,3,h,2,0
1949,d,1,h,1,g,1,0
1421,c,2,g,8,h,7,0
57,a,1,e,3,e,4,0
937,c,1,e,4,f,3,0
358,b,1,d,7,e,8,0
676,b,2,g,2,f,3,0
1061,c,1,g,5,g,4,0
2025,d,2,b,2,a,2,0
1435,c,2,h,3,h,4,0
368,b,1,e,1,f,2,0
1846,d,1,f,2,g,3,0
2266,d,2,g,6,g,7,0
151,a,1,g,5,h,5,0
1395,c,2,g,5,f,5,0
2587,d,3,g,7,f,7,0
1876,d,1,f,6,g,6,0
102,a,1,f,4,g,5,0
1091,c,1,h,2,g,1,0
