,0,1,2,3,4,5,6,7,8,9,10,11,12,13,output
24349,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,1,United-States,0.4705460608118946,-0.04113154046523116,0.7460391668431378,-0.14592048355885345,-0.21665952703259012,1.1794170387902685,1
20918,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,0,United-States,0.7637963964502299,0.029518540884827887,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
19181,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,1,United-States,-0.7757678656510302,-0.7803756396230302,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,0.3695193816149048,1
20553,Federal-gov,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,1,United-States,-0.6291426978318626,-1.1015270151792795,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,0.3695193816149048,1
21801,Private,Some-college,Divorced,Sales,Not-in-family,White,0,United-States,0.4705460608118946,-0.7369547836719345,-0.03136002706291564,0.4837189880648575,-0.21665952703259012,-0.03542944697277691,1
10242,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,0,United-States,0.17729572517355938,0.33179705040254737,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
31889,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,0,United-States,-0.04264202655519207,-1.1784964748665372,0.7460391668431378,-0.14592048355885345,-0.21665952703259012,0.3695193816149048,1
2619,Self-emp-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,0,United-States,0.10398314126397556,-1.0720523734895877,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
10265,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,0,United-States,-1.0690182012893654,0.8890203150562114,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,0.20753985017983206,1
2834,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,1,Japan,-0.7024552817414464,-0.26812702109632475,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
30499,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,0,United-States,-0.04264202655519207,-0.13583694655014336,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
6432,?,Some-college,Married-civ-spouse,?,Husband,White,0,United-States,-0.04264202655519207,-0.8118019933628915,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,-2.060173589911185,1
8070,Private,HS-grad,Never-married,Other-service,Other-relative,Asian-Pac-Islander,0,United-States,-1.4355811208372846,0.7744567125773442,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-1.3312656984533584,1
32411,Private,HS-grad,Never-married,Craft-repair,Own-child,White,0,United-States,-0.922393033470198,-0.24057566846578005,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,0.6124886787675138,1
6812,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,1,United-States,0.10398314126397556,0.7094817551013208,1.1347387637961643,-0.14592048355885345,-0.21665952703259012,1.58436586737795,1
30309,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,White,0,United-States,0.4705460608118946,-0.06856920113168832,-0.03136002706291564,-0.14592048355885345,-0.21665952703259012,0.6124886787675138,1
31796,Private,HS-grad,Never-married,Other-service,Other-relative,Black,1,?,-0.5558301139222788,0.002355635798248928,-0.4200596240159423,-0.14592048355885345,-0.21665952703259012,-0.03542944697277691,1
15501,Private,10th,Never-married,Other-service,Unmarried,Black,1,United-States,-0.2625797782839435,1.4234199179193041,-1.5861584148750223,-0.14592048355885345,-0.21665952703259012,-0.1974089784078496,1
