,0,1,2,3,output
118,3,3,2,2,1
85,3,3,3,2,1
41,2,2,1,2,1
66,3,1,2,2,1
129,1,2,1,2,1
87,3,3,2,1,1
38,1,2,1,2,1
120,1,2,2,1,1
122,3,1,2,2,1
45,1,2,1,3,1
106,2,3,2,1,1
89,2,2,1,2,1
16,3,2,1,2,1
100,2,3,2,1,1
13,2,1,2,2,1
86,2,2,1,3,1
27,2,1,2,2,1
37,3,2,2,1,1
51,3,2,1,2,1
92,1,3,2,1,1
25,3,2,2,1,1
32,1,2,1,3,1
42,3,2,1,3,1
69,1,1,2,2,1
111,2,2,3,2,1
67,1,1,2,2,1
36,1,1,2,2,1
1,2,1,3,2,1
117,1,2,3,3,1
71,2,1,3,2,1
90,2,2,2,1,1
20,1,2,2,1,1
81,3,1,2,2,1
93,2,2,1,2,1
5,1,1,3,2,1
56,2,2,2,1,1
6,3,1,3,2,1
99,3,3,2,1,1
91,2,3,2,3,1
61,2,2,1,2,1
102,1,2,1,2,1
35,3,1,2,2,1
59,2,1,2,2,1
48,1,2,2,3,1
130,1,2,2,1,1
52,3,2,1,2,1
26,3,2,1,3,1
105,1,2,2,1,1
40,2,2,2,1,1
72,1,1,3,2,1
95,3,2,2,1,1
