,0,1,2,3,4,5,6,7,output
9073,great_pret,proper,incomplete,1,convenient,0,nonprob,priority,0
12783,great_pret,very_crit,foster,1,critical,0,slightly_prob,recommended,0
429,usual,proper,completed,more,critical,1,problematic,recommended,0
8691,great_pret,proper,complete,1,critical,1,problematic,recommended,0
8470,pretentious,very_crit,foster,1,critical,1,nonprob,priority,0
3369,usual,critical,foster,3,less_conv,0,slightly_prob,recommended,0
12061,great_pret,critical,foster,more,less_conv,0,nonprob,priority,0
6153,pretentious,improper,complete,2,critical,1,problematic,recommended,0
11022,great_pret,improper,foster,1,convenient,0,problematic,recommended,0
7882,pretentious,very_crit,complete,2,critical,1,problematic,priority,0
9351,great_pret,proper,foster,2,convenient,1,nonprob,recommended,0
313,usual,proper,completed,2,critical,0,problematic,priority,0
2610,usual,critical,complete,1,less_conv,0,nonprob,recommended,0
996,usual,less_proper,complete,3,less_conv,0,problematic,recommended,0
4051,usual,very_crit,incomplete,more,convenient,0,nonprob,priority,0
7144,pretentious,critical,completed,1,convenient,1,problematic,priority,0
11841,great_pret,critical,incomplete,more,convenient,1,problematic,recommended,0
4539,pretentious,proper,completed,1,convenient,0,slightly_prob,recommended,0
2536,usual,improper,foster,3,critical,1,problematic,priority,0
505,usual,proper,incomplete,2,less_conv,0,nonprob,priority,0
202,usual,proper,complete,more,critical,0,slightly_prob,priority,0
6448,pretentious,improper,completed,more,less_conv,0,slightly_prob,priority,0
9780,great_pret,less_proper,completed,2,convenient,0,problematic,recommended,0
9049,great_pret,proper,completed,more,less_conv,1,slightly_prob,priority,0
499,usual,proper,incomplete,2,convenient,1,slightly_prob,priority,0
10179,great_pret,less_proper,foster,1,less_conv,1,nonprob,recommended,0
3322,usual,critical,foster,2,less_conv,1,nonprob,priority,0
6735,pretentious,improper,foster,1,critical,0,slightly_prob,recommended,0
7150,pretentious,critical,completed,1,less_conv,0,slightly_prob,priority,0
2035,usual,improper,completed,2,critical,0,nonprob,priority,0
7840,pretentious,very_crit,complete,2,convenient,1,nonprob,priority,0
3295,usual,critical,foster,2,convenient,0,nonprob,priority,0
3772,usual,very_crit,completed,2,critical,1,nonprob,priority,0
10312,great_pret,less_proper,foster,3,critical,1,problematic,priority,0
12705,great_pret,very_crit,incomplete,more,convenient,1,problematic,recommended,0
7060,pretentious,critical,complete,3,critical,0,slightly_prob,priority,0
2352,usual,improper,incomplete,more,less_conv,1,slightly_prob,recommended,0
7434,pretentious,critical,incomplete,2,critical,0,nonprob,recommended,0
11682,great_pret,critical,incomplete,1,less_conv,0,nonprob,recommended,0
9945,great_pret,less_proper,incomplete,1,convenient,1,nonprob,recommended,0
12885,great_pret,very_crit,foster,3,less_conv,1,problematic,recommended,0
10059,great_pret,less_proper,incomplete,3,convenient,1,problematic,recommended,0
3861,usual,very_crit,completed,more,less_conv,1,nonprob,recommended,0
5977,pretentious,less_proper,foster,3,critical,0,nonprob,priority,0
4164,usual,very_crit,foster,2,convenient,0,problematic,recommended,0
11467,great_pret,critical,completed,1,less_conv,0,nonprob,priority,0
11205,great_pret,improper,foster,more,less_conv,1,nonprob,recommended,0
651,usual,proper,foster,1,convenient,0,slightly_prob,recommended,0
9690,great_pret,less_proper,complete,more,less_conv,0,problematic,recommended,0
4203,usual,very_crit,foster,2,critical,1,nonprob,recommended,0
2248,usual,improper,incomplete,2,less_conv,1,problematic,priority,0
11746,great_pret,critical,incomplete,2,less_conv,1,nonprob,priority,0
10329,great_pret,less_proper,foster,more,convenient,1,problematic,recommended,0
7263,pretentious,critical,completed,3,less_conv,1,nonprob,recommended,0
5149,pretentious,proper,foster,more,less_conv,0,nonprob,priority,0
2676,usual,critical,complete,2,less_conv,1,slightly_prob,recommended,0
8086,pretentious,very_crit,completed,2,critical,0,slightly_prob,priority,0
1179,usual,less_proper,completed,2,critical,1,nonprob,recommended,0
736,usual,proper,foster,2,less_conv,1,problematic,priority,0
12774,great_pret,very_crit,foster,1,less_conv,1,slightly_prob,recommended,0
3436,usual,critical,foster,more,less_conv,1,problematic,priority,0
11977,great_pret,critical,foster,2,critical,0,problematic,priority,0
8724,great_pret,proper,complete,2,less_conv,1,slightly_prob,recommended,0
4014,usual,very_crit,incomplete,3,less_conv,0,nonprob,recommended,0
1213,usual,less_proper,completed,3,less_conv,0,problematic,priority,0
5986,pretentious,less_proper,foster,3,critical,1,nonprob,priority,0
8145,pretentious,very_crit,completed,3,critical,1,nonprob,recommended,0
8335,pretentious,very_crit,incomplete,3,less_conv,0,nonprob,priority,0
109,usual,proper,complete,3,convenient,0,nonprob,priority,0
8271,pretentious,very_crit,incomplete,2,convenient,1,nonprob,recommended,0
11430,great_pret,critical,complete,more,critical,0,nonprob,recommended,0
445,usual,proper,incomplete,1,convenient,1,slightly_prob,priority,0
2418,usual,improper,foster,1,critical,0,problematic,recommended,0
11062,great_pret,improper,foster,1,critical,1,nonprob,priority,0
5685,pretentious,less_proper,incomplete,2,convenient,1,problematic,recommended,0
11167,great_pret,improper,foster,3,critical,0,problematic,priority,0
12544,great_pret,very_crit,incomplete,1,convenient,1,problematic,priority,0
3658,usual,very_crit,complete,more,critical,0,slightly_prob,priority,0
868,usual,less_proper,complete,1,convenient,0,slightly_prob,priority,0
5035,pretentious,proper,foster,2,convenient,1,slightly_prob,priority,0
10065,great_pret,less_proper,incomplete,3,less_conv,0,slightly_prob,recommended,0
7600,pretentious,critical,foster,1,critical,0,slightly_prob,priority,0
9016,great_pret,proper,completed,3,critical,1,problematic,priority,0
2808,usual,critical,completed,1,convenient,0,nonprob,recommended,0
5185,pretentious,less_proper,complete,1,convenient,0,nonprob,priority,0
5337,pretentious,less_proper,complete,3,critical,1,nonprob,recommended,0
7918,pretentious,very_crit,complete,3,less_conv,1,problematic,priority,0
11403,great_pret,critical,complete,more,convenient,1,nonprob,recommended,0
6715,pretentious,improper,foster,1,less_conv,0,nonprob,priority,0
3091,usual,critical,incomplete,2,convenient,1,slightly_prob,priority,0
7885,pretentious,very_crit,complete,3,convenient,0,nonprob,priority,0
6432,pretentious,improper,completed,more,convenient,0,problematic,recommended,0
8497,pretentious,very_crit,foster,2,less_conv,0,nonprob,priority,0
2308,usual,improper,incomplete,3,critical,0,slightly_prob,priority,0
9627,great_pret,less_proper,complete,3,convenient,1,problematic,recommended,0
11178,great_pret,improper,foster,more,convenient,0,nonprob,recommended,0
8358,pretentious,very_crit,incomplete,3,critical,0,problematic,recommended,0
9615,great_pret,less_proper,complete,3,convenient,0,slightly_prob,recommended,0
5127,pretentious,proper,foster,3,critical,1,problematic,recommended,0
5865,pretentious,less_proper,foster,1,less_conv,1,problematic,recommended,0
