0,1,2,3
3.99,20.4,8.1396,0
5.75,44.45,25.55875,0
2.04,23.18,4.72872,0
7.41,47.35,35.08635,1
5.93,45.25,26.83325,0
1.49,33.26,4.95574,0
6.81,32.96,22.44576,1
0.15,26.16,0.39239999999999997,0
9.19,38.78,35.638819999999996,1
9.57,26.04,24.920279999999998,1
5.12,32.96,16.87552,1
1.17,47.6,5.5692,0
4.17,30.76,12.826920000000001,0
5.34,49.58,26.475720000000003,0
0.04,38.45,0.15380000000000002,0
9.66,25.14,24.28524,1
6.5,38.4,24.96,0
6.55,43.69,28.616949999999996,0
1.0,21.49,2.149,0
2.24,27.68,6.2003200000000005,0
4.31,48.52,20.912119999999998,1
5.6,26.8,15.008,1
6.16,35.46,21.84336,0
2.22,34.25,7.603500000000001,0
2.15,27.82,5.981299999999999,0
9.96,47.83,47.63868000000001,1
5.91,20.58,12.16278,1
3.8,34.9,13.261999999999997,0
0.17,32.36,0.5501199999999999,0
9.19,32.57,29.931829999999998,1
5.15,25.1,12.9265,1
7.17,40.44,28.995479999999997,0
6.65,38.67,25.71555,0
4.24,36.8,15.603199999999998,1
3.61,34.42,12.42562,0
8.49,42.21,35.836290000000005,1
4.37,41.42,18.100540000000002,1
9.98,33.75,33.6825,1
1.17,27.2,3.1824,0
4.7,37.54,17.643800000000002,1
3.83,27.24,10.43292,0
5.67,44.36,25.15212,0
1.67,42.23,7.052409999999999,0
4.47,35.62,15.922139999999999,1
2.92,47.01,13.726919999999998,1
7.06,47.86,33.789159999999995,1
4.48,45.97,20.59456,1
2.91,48.75,14.186250000000001,1
6.36,24.06,15.30216,1
0.9,24.25,2.1825,0
0.92,46.6,4.2872,0
0.17,45.24,0.7690800000000001,0
9.55,36.84,35.18220000000001,1
1.07,40.33,4.31531,0
7.68,45.55,34.9824,1
9.5,42.31,40.194500000000005,1
1.03,45.94,4.73182,0
4.55,40.61,18.47755,1
5.96,21.33,12.712679999999999,1
6.84,31.87,21.79908,1
8.73,37.22,32.49306,1
2.17,29.12,6.319039999999999,0
7.96,38.62,30.741519999999998,0
5.65,35.6,20.114,0
1.18,28.01,3.30518,0
8.77,39.23,34.404709999999994,1
9.74,25.09,24.43766,1
3.6,39.0,14.040000000000001,1
4.23,46.41,19.63143,1
7.21,36.21,26.107409999999998,0
0.08,35.34,0.28272,0
8.01,29.17,23.36517,1
5.2,31.61,16.4372,1
2.75,46.97,12.916749999999999,1
2.71,32.59,8.831890000000001,0
8.59,36.98,31.765819999999998,0
6.9,29.89,20.624100000000002,1
0.05,36.98,0.1849,0
0.34,20.63,0.7014199999999999,0
