0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,output
0,0,0,0,0,at_home,teacher,course,mother,1,0,0,0,1,1,0,0,18,4,4,2,2,0,4,3,4,1,1,3,4,0
0,0,0,0,1,at_home,other,course,father,0,1,0,0,0,1,1,0,17,1,1,1,2,0,5,3,3,1,1,3,2,0
0,0,0,1,1,at_home,other,other,mother,1,0,0,0,1,1,1,0,15,1,1,1,2,0,4,3,2,2,3,3,6,1
0,0,0,0,1,health,services,home,mother,0,1,0,1,1,1,1,1,15,4,2,1,3,0,3,2,2,1,1,5,0,1
0,0,0,0,1,other,other,home,father,0,1,0,0,1,1,0,0,16,3,3,1,2,0,4,3,2,1,2,5,0,1
0,1,0,1,1,services,other,reputation,mother,0,1,0,1,1,1,1,0,16,4,3,1,2,0,5,4,2,1,2,5,6,1
0,1,0,1,1,other,other,home,mother,0,0,0,0,1,1,1,0,16,2,2,1,2,0,4,4,4,1,1,3,0,1
0,0,0,0,0,other,teacher,home,mother,1,1,0,0,1,1,0,0,17,4,4,2,2,0,4,1,4,1,1,1,2,1
0,1,0,1,0,services,other,home,mother,0,1,0,0,1,1,1,0,15,3,2,1,2,0,4,2,2,1,1,1,0,1
0,1,0,0,1,other,other,home,mother,0,1,0,1,1,1,1,0,15,3,4,1,2,0,5,5,1,1,1,5,0,1
0,0,0,0,1,teacher,health,reputation,mother,0,1,0,0,1,1,1,0,15,4,4,1,2,0,3,3,3,1,2,2,2,1
0,0,0,0,1,services,other,reputation,father,0,1,0,1,1,1,1,0,15,2,1,3,3,0,5,2,2,1,1,4,0,1
0,1,0,1,1,health,services,course,father,0,1,0,1,1,1,1,0,15,4,4,1,1,0,4,3,3,1,3,5,0,1
0,1,0,0,1,teacher,other,course,mother,0,1,0,0,1,1,1,0,15,4,3,2,2,0,5,4,3,1,2,3,0,1
0,1,0,0,0,other,other,home,other,0,1,0,0,1,1,1,1,15,2,2,1,3,0,4,5,2,1,1,3,0,1
0,0,0,0,1,health,other,home,mother,0,1,0,0,1,1,1,0,16,4,4,1,1,0,4,4,4,1,2,2,6,1
0,0,0,0,1,services,services,reputation,mother,0,1,0,1,1,1,1,0,16,4,4,1,3,0,3,2,3,1,2,2,10,1
0,0,0,0,1,other,other,reputation,mother,1,1,0,1,1,1,0,0,16,3,3,3,2,0,5,3,2,1,1,4,2,1
0,1,0,0,1,services,services,course,mother,0,1,1,1,1,1,1,0,17,3,2,1,1,3,5,5,5,2,4,5,2,0
0,1,0,1,1,health,other,home,father,0,0,0,1,1,1,1,0,16,4,3,1,1,0,3,1,3,1,3,5,6,1
0,1,0,0,1,teacher,other,reputation,mother,0,0,0,0,1,1,1,0,15,4,3,1,2,0,4,4,1,1,1,1,0,1
0,1,0,0,1,health,health,other,father,0,1,1,0,1,1,1,0,15,4,4,1,1,0,5,4,2,1,1,5,0,1
0,1,0,1,1,teacher,other,course,mother,0,0,0,1,1,1,1,0,16,4,2,1,2,0,4,5,1,1,3,5,0,1
0,1,0,1,1,other,other,reputation,mother,0,1,0,1,1,1,1,0,16,2,2,2,2,0,5,4,4,2,4,5,2,0
0,0,1,0,1,services,health,course,mother,1,1,0,1,1,1,1,0,15,2,4,1,3,0,4,3,2,1,1,5,2,0
0,0,0,0,1,services,services,home,mother,0,1,0,0,0,1,1,0,16,2,2,1,1,0,1,2,2,1,3,5,6,1
0,1,0,0,1,other,other,home,mother,0,1,0,0,1,1,1,0,15,2,2,1,1,0,4,2,2,1,2,5,8,1
0,1,0,0,1,health,services,other,mother,0,0,0,0,1,1,1,0,15,4,2,1,1,0,2,2,4,2,4,1,0,0
0,1,0,1,0,services,other,home,mother,1,1,1,1,1,1,1,0,16,3,4,1,2,0,5,3,3,1,1,5,2,1
0,1,0,0,1,teacher,teacher,home,mother,0,1,1,1,1,1,1,1,16,4,4,1,2,0,4,4,5,5,5,5,4,1
0,1,0,0,1,health,services,home,mother,0,1,1,0,0,1,1,0,15,4,4,1,2,0,5,4,2,3,4,5,0,0
0,1,0,0,1,services,services,reputation,mother,0,1,0,1,1,1,1,0,15,4,4,2,2,0,4,3,1,1,1,5,2,1
0,1,1,0,1,teacher,at_home,course,mother,0,1,0,1,1,1,1,1,15,4,3,1,2,0,4,5,2,1,1,5,0,1
0,1,0,1,1,other,other,course,mother,0,0,0,1,0,1,1,0,15,3,3,1,2,0,5,3,2,1,1,2,0,1
0,1,0,0,1,other,other,home,mother,0,1,0,0,0,1,1,0,16,3,2,1,1,0,5,4,3,1,1,5,4,1
0,0,0,0,1,other,other,other,father,0,1,0,1,1,1,0,0,15,2,3,2,1,0,3,5,1,1,1,5,4,0
0,1,0,1,1,teacher,services,home,mother,0,1,0,1,1,1,1,0,15,4,3,1,3,0,5,4,3,1,1,4,0,1
0,1,1,0,0,other,teacher,reputation,mother,0,1,0,1,1,1,1,1,16,4,4,2,3,0,2,4,3,1,1,5,4,1
0,0,1,0,1,services,health,course,mother,1,1,0,1,1,1,1,0,15,3,4,1,3,0,4,3,2,1,1,5,2,1
0,0,1,0,1,at_home,other,reputation,mother,1,1,0,1,1,1,0,0,15,2,2,1,1,0,4,3,1,1,1,2,8,1
0,0,0,1,1,other,other,home,mother,0,1,0,1,0,1,1,1,16,2,2,2,2,0,3,3,3,1,2,3,16,0
0,1,0,1,1,teacher,other,home,other,0,1,0,0,0,1,1,1,15,4,4,1,1,0,5,4,3,2,4,5,8,0
0,1,0,0,1,services,teacher,course,father,0,1,0,1,1,1,1,0,15,4,4,1,2,0,4,3,3,1,1,5,0,1
0,1,0,0,1,services,services,course,father,1,1,0,0,1,1,1,0,15,2,2,1,1,0,5,4,1,1,1,1,0,0
0,0,0,1,1,other,at_home,course,father,1,0,0,1,1,1,1,0,16,2,2,2,2,1,4,3,3,2,2,5,14,0
0,0,0,1,0,other,other,course,mother,1,1,1,1,1,1,1,1,15,4,3,1,2,0,5,2,2,1,1,5,4,0
0,0,0,1,0,other,services,home,mother,0,1,0,0,1,1,1,0,16,3,3,1,2,0,2,3,5,1,4,3,6,1
0,1,0,0,1,health,services,reputation,mother,0,0,0,1,1,1,1,0,16,4,3,1,4,0,4,2,2,1,1,2,2,1
0,1,0,0,1,teacher,other,home,mother,0,1,0,0,1,1,0,0,15,4,2,1,2,0,4,3,3,2,2,5,4,1
0,0,0,0,1,services,teacher,other,father,1,1,0,1,0,1,1,0,15,4,4,1,2,0,4,4,4,1,1,3,2,1
0,0,0,1,1,services,services,course,mother,0,1,0,0,1,1,1,0,16,2,2,3,2,0,4,3,3,2,3,4,0,1
0,0,0,1,1,health,other,other,mother,0,1,0,0,1,1,1,0,15,4,2,1,2,0,4,3,3,1,1,5,0,1
0,1,0,1,0,health,health,other,father,0,0,0,0,1,1,0,0,15,4,2,2,1,0,5,5,5,3,4,5,4,0
0,0,0,0,1,services,services,course,mother,1,1,0,0,1,1,1,0,15,4,4,1,1,0,3,3,4,2,3,5,0,1
